"AccessionNumber","Length","CreateDate","Source","Category","Family"
"NC_026242","145704","23-JAN-2015","Tipula oleracea nudivirus",NA,"Nudiviridae"
"NC_024692","119638","22-AUG-2014","Penaeus monodon nudivirus",NA,"Nudiviridae"
"NC_004156","231621","30-AUG-2002","Helicoverpa zea nudivirus 2",NA,"Nudiviridae"
"NC_011588","127615","17-NOV-2008","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"NC_009240","96944","30-MAR-2007","Gryllus bimaculatus nudivirus",NA,"Nudiviridae"
"MF966379","155555","10-DEC-2017","Drosophila innubila nudivirus",NA,"Nudiviridae"
"KM610234","145704","13-JAN-2015","Tipula oleracea nudivirus",NA,"Nudiviridae"
"KJ184318","119638","31-JUL-2014","Penaeus monodon nudivirus",NA,"Nudiviridae"
"JN418988","231621","27-DEC-2011","Helicoverpa zea nudivirus 2",NA,"Nudiviridae"
"AF451898","228089","30-AUG-2002","Heliothis zea nudivirus 1",NA,"Nudiviridae"
"EU747721","127615","15-NOV-2008","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"EF203088","96944","27-MAR-2007","Gryllus bimaculatus nudivirus",NA,"Nudiviridae"
"OR723730","80637","23-APR-2024","Nesodiprion zhejiangensis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OR759961","132549","21-APR-2024","Leucoma salicis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP481892","127128","10-APR-2024","Alphabaculovirus bomori","alpha, gamma and delta","Baculoviridae"
"PP481893","128115","10-APR-2024","Alphabaculovirus bomori","alpha, gamma and delta","Baculoviridae"
"PP481894","127354","10-APR-2024","Alphabaculovirus bomori","alpha, gamma and delta","Baculoviridae"
"PP481895","128044","10-APR-2024","Alphabaculovirus bomori","alpha, gamma and delta","Baculoviridae"
"LC808156","127780","06-APR-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP449363","106633","16-MAR-2024","Platynota idaeusalis granulovirus","beta","Baculoviridae"
"PP171514","177161","30-JAN-2024","Calliteara abietis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OR184841","152893","17-JAN-2024","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"OR184842","154656","17-JAN-2024","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"OR184843","152711","17-JAN-2024","Mamestra configurata nucleopolyhedrovirus B","alpha, gamma and delta","Baculoviridae"
"OR184844","152176","17-JAN-2024","Mamestra configurata nucleopolyhedrovirus B","alpha, gamma and delta","Baculoviridae"
"OR271605","152272","17-JAN-2024","Mamestra configurata nucleopolyhedrovirus B","alpha, gamma and delta","Baculoviridae"
"PP048616","126575","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP048617","125939","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP048618","126783","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP048619","126657","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP048620","126253","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP048621","126189","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP048622","125888","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"PP048623","126644","10-JAN-2024","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC790006","127783","09-DEC-2023","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OR819345","112286","06-DEC-2023","Cnaphalocrocis medinalis granulovirus","beta","Baculoviridae"
"OR651290","122998","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR651292","120002","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR651294","123818","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR651296","121218","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743629","121196","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743658","122997","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743660","123004","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743664","121216","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743666","87241","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743668","120194","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743670","122776","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743674","123670","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743676","122952","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743680","92474","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743686","97631","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743688","121196","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743690","121195","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743692","121196","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR743703","122843","13-NOV-2023","Cydia pomonella granulovirus","beta","Baculoviridae"
"OR578550","120217","25-OCT-2023","Malacosoma i nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OR557577","137803","21-OCT-2023","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OR290105","153032","20-SEP-2023","Alphabaculovirus mabrassicae","alpha, gamma and delta","Baculoviridae"
"MW892740","154951","07-SEP-2023","Melanchra picta nucleopolyhedrovirus (MepiNPV)","alpha, gamma and delta","Baculoviridae"
"MW892741","155060","07-SEP-2023","Melanchra picta nucleopolyhedrovirus (MepiNPV)","alpha, gamma and delta","Baculoviridae"
"OQ735222","137925","02-SEP-2023","Spodoptera littoralis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OQ161604","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161605","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161606","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161607","130435","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161608","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161609","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161610","130433","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161611","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161612","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161613","130433","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161614","130413","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161615","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161616","130433","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161617","130410","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OQ161618","130434","19-JUN-2023","Helicoverpa SNPV AC53","alpha, gamma and delta","Baculoviridae"
"OK490347","153882","01-JUN-2023","Mamestra brassicae multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OQ024006","131182","27-MAY-2023","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OQ024007","123971","27-MAY-2023","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OP891564","136920","22-MAY-2023","Dasychira pudibunda nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_076031","156647","04-MAY-2023","Mythimna unipuncta nucleopolyhedrovirus (MyunNPV)","alpha, gamma and delta","Baculoviridae"
"NC_076246","128525","04-MAY-2023","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_076652","114825","04-MAY-2023","Hyphantria cunea granulovirus","beta","Baculoviridae"
"NC_076682","128587","04-MAY-2023","Rachiplusia nu nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_076692","122075","04-MAY-2023","Dione juno nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_076728","161734","04-MAY-2023","Euproctis digramma nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_076869","137373","04-MAY-2023","Spodoptera eridania nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_076905","116875","04-MAY-2023","Matsumuraeses phaseoli granulovirus","beta","Baculoviridae"
"NC_077025","130540","04-MAY-2023","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_077106","165657","04-MAY-2023","Trabala vishnou gigantina nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_077147","142291","04-MAY-2023","Olene mendosa nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_077155","125247","04-MAY-2023","Erannis ankeraria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OP562161","135253","18-APR-2023","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW380417","148412","02-JAN-2023","Mythimna sequax nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OM066077","119883","01-JAN-2023","Penaeus vannamei nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OM802163","158495","14-DEC-2022","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OM802164","162528","14-DEC-2022","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OP426321","82052","15-NOV-2022","Neodiprion sertifer nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"ON704650","114833","12-NOV-2022","Parapoynx stagnalis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MZ913724","103846","06-NOV-2022","Darna trima granulovirus","beta","Baculoviridae"
"OK181759","132043","29-OCT-2022","Ectropis obliqua nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OP589943","107139","19-OCT-2022","Betabaculovirus sp. (gut metagenome)","beta","Baculoviridae"
"ON803509","103721","12-OCT-2022","Psilogramma increta granulovirus","beta","Baculoviridae"
"OM746694","135756","13-SEP-2022","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MZ424046","123812","12-SEP-2022","Plutella xylostella nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OL685370","117553","18-JUN-2022","Palpita vitrealis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW650642","137155","14-JUN-2022","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW650643","137655","14-JUN-2022","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW650644","137284","14-JUN-2022","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MZ290131","137699","24-MAY-2022","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW452938","136814","03-MAY-2022","Trichoplusia ni single nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW306663","109128","17-APR-2022","Pieris rapae granulovirus","beta","Baculoviridae"
"MZ766431","142291","16-APR-2022","Olene mendosa nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OK091173","125247","06-FEB-2022","Erannis ankeraria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"OL686893","132540","19-JAN-2022","Hyphantria cunea nucleopolyhedrovirus (HycuNPV)","alpha, gamma and delta","Baculoviridae"
"OL686894","130973","19-JAN-2022","Hyphantria cunea nucleopolyhedrovirus (HycuNPV)","alpha, gamma and delta","Baculoviridae"
"MT810812","131404","12-OCT-2021","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW496365","133965","08-SEP-2021","Autographa californica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MT561366","121377","07-AUG-2021","Buzura suppressaria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW645368","165657","04-AUG-2021","Trabala vishnou gigantina nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MT501299","127437","12-JUL-2021","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MZ394738","132358","26-JUN-2021","Ectropis obliqua nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MZ292981","132710","20-JUN-2021","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MZ127289","160849","16-JUN-2021","Orgyia pseudotsugata single capsid nuclopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW842985","127582","07-JUN-2021","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_055453","139089","01-JUN-2021","Hyposidra talaca nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_055455","129528","01-JUN-2021","Spodoptera exempta nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_055467","142900","01-JUN-2021","Cyclophragma undans nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_055500","115728","01-JUN-2021","Cryptophlebia peltastica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_055502","149090","01-JUN-2021","Spodoptera eridania nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW173388","140684","03-MAY-2021","Gynaephora ruoergensis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MW162628","132696","16-FEB-2021","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN099284","100941","17-DEC-2020","Plutella xylostella granulovirus","beta","Baculoviridae"
"MN099285","100972","17-DEC-2020","Plutella xylostella granulovirus","beta","Baculoviridae"
"MN099286","100999","17-DEC-2020","Plutella xylostella granulovirus","beta","Baculoviridae"
"MT782112","162246","22-NOV-2020","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MT782113","162282","22-NOV-2020","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MT844067","116875","03-OCT-2020","Matsumuraeses phaseoli granulovirus","beta","Baculoviridae"
"MT040195","137373","28-SEP-2020","Spodoptera eridania nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN320360","164221","26-AUG-2020","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"MN337871","153364","26-AUG-2020","Mamestra configurata nucleopolyhedrovirus B","alpha, gamma and delta","Baculoviridae"
"MN395659","157635","26-AUG-2020","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"MK503923","132793","13-AUG-2020","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK503924","134237","13-AUG-2020","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK503925","132801","13-AUG-2020","Spodoptera frugiperda multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN481987","140327","17-JUN-2020","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN661137","159089","08-APR-2020","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK419955","147763","01-FEB-2020","Spodoptera cosmioides nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK419956","128587","01-FEB-2020","Rachiplusia nu nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN342245","139327","29-JAN-2020","Spodoptera litura nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC500465","127618","11-JAN-2020","Bombyx mori nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN233792","161734","11-JAN-2020","Artaxa digramma nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"LC516821","122827","09-JAN-2020","Choristoneura diversana nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN696165","123705","24-DEC-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MN696166","123669","24-DEC-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MN696167","123702","24-DEC-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MN696168","123702","24-DEC-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MN696169","123392","24-DEC-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MN696170","123692","24-DEC-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MN696171","123759","24-DEC-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MK252969","154900","21-DEC-2019","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"MN542938","139637","17-DEC-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN542939","139470","17-DEC-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN689112","139113","17-DEC-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN689113","139074","17-DEC-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN689114","138760","17-DEC-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN689115","139046","17-DEC-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN689116","139225","17-DEC-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK409385","154860","24-AUG-2019","Mamestra configurata nucleopolyhedrovirus A","alpha, gamma and delta","Baculoviridae"
"MK746083","130540","18-AUG-2019","Chrysodeixis includens nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MN075941","123595","06-AUG-2019","Cydia pomonella granulovirus","beta","Baculoviridae"
"MK558262","122075","20-JUL-2019","Dione juno nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK264918","164746","06-JUL-2019","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_043520","120023","28-JUN-2019","Lonomia obliqua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_043529","113971","28-JUN-2019","Oxyplax ochracea nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_043530","148482","28-JUN-2019","Mythimna unipuncta nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK089451","162249","26-JUN-2019","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH077961","125148","29-MAY-2019","Troides aeacus nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK411291","160652","20-MAY-2019","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK411292","160631","20-MAY-2019","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MK411293","161396","20-MAY-2019","Lymantria dispar multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"KY979487","126930","30-APR-2019","Antheraea proylei nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH923363","114825","30-MAR-2019","Hyphantria cunea granulovirus","beta","Baculoviridae"
"MK507817","130691","23-MAR-2019","Helicoverpa armigera nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH577296","136031","10-MAR-2019","Trichoplusia ni single nucleopolyhedrovirus (TnSNPV)","alpha, gamma and delta","Baculoviridae"
"MK033565","119095","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033566","118826","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033567","119061","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033568","119061","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033569","119139","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033570","119117","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033571","119157","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033572","119047","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033573","118863","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033574","119102","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033575","119080","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK033576","118936","05-MAR-2019","Phthorimaea operculella granulovirus","beta","Baculoviridae"
"MK293724","129018","20-FEB-2019","Neophasia sp. alphabaculovirus","alpha, gamma and delta","Baculoviridae"
"NC_040606","130202","12-FEB-2019","Malacosoma neustria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_040621","119054","12-FEB-2019","Operophtera brumata nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MG746625","131897","01-FEB-2019","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MG746626","130956","01-FEB-2019","Anticarsia gemmatalis multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH717816","129528","29-JAN-2019","Spodoptera exempta nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH797002","126930","24-NOV-2018","Antheraea proylei nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MG958660","137099","14-NOV-2018","Spodoptera littoralis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH370144","128525","28-OCT-2018","Spodoptera exigua multiple nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH124167","156647","11-SEP-2018","Mythimna unipuncta nucleopolyhedrovirus (MyunNPV)","alpha, gamma and delta","Baculoviridae"
"MH320559","149090","11-SEP-2018","Spodoptera eridania nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH394321","115728","04-SEP-2018","Cryptophlebia peltastica nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MG569706","129801","03-SEP-2018","Helicoverpa assulta nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"MH170055","139812","03-SEP-2018","Spodoptera frugiperda granulovirus","beta","Baculoviridae"
"KY968317","130202","29-AUG-2018","Malacosoma neustria nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_038369","137998","24-AUG-2018","Spodoptera littoralis nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
"NC_038371","107439","24-AUG-2018","Clostera anastomosis granulovirus B","beta","Baculoviridae"
"NC_038375","175360","24-AUG-2018","Trichoplusia ni granulovirus LBIV-12","beta","Baculoviridae"
"NC_039213","131557","24-AUG-2018","Agrotis segetum granulovirus","beta","Baculoviridae"
"MH261376","139089","27-JUN-2018","Hyposidra talaca nucleopolyhedrovirus","alpha, gamma and delta","Baculoviridae"
