"JP04","157794/1","201106/1","110958/1","150306/1","174060/1","55813/1","122369/1","201552/1","183795/1","180813/1","119209/1","119582/1","147788/1","168691/1","108884/1","182684/1","172234/1","141551/1","192067/1","124018/1","124560/1","125602/1","147948/1","149931/1","168973/1","116321/1","198255/1","57132/1","127744/1","155594/1","16976/1","139431/1","120633/1","198436/1","115582/1","38640/1","64940/1","149071/1","163397/1","95776/1","56297/1","61092/1","118297/1","45508/1","77219/1","190138/1","186379/1","56145/1","134688/1","100152/1","83578/1","186653/1","168865/1","121503/1","51083/1","64695/1","48550/1","49893/1","104869/1","196290/1","181574/1","106777/1","72031/1","202651/1","55235/1","43350/1","162926/1","114404/1","134700/1","149803/1","34383/1","157927/1","98090/1","187520/1","206168/1","191287/1","184864/1","168282/1","147587/1","158676/1","161605/1","147782/1","160757/1","159004/1","60905/1","204358/1","149002/1","68682/1","32926/1","190241/1","75671/1","121072/1","132014/1","205644/1","166075/1","150385/1","118527/1","56693/1","42718/1","185522/1","138918/1","119033/1","49248/1","49112/1","167402/1","162468/1","63311/1","41066/1","192132/1","177243/1","190038/1","180705/1","144736/1","34025/1","186879/1","135005/1","107731/1","48722/1","33811/1","34276/1","137904/1","94692/1","53378/1","101202/1","56960/1","18017/1","35482/1","200282/1","63017/1","189476/1","166589/1","80946/1","135085/1","108661/1","137407/1","167450/1","52708/1","148438/1","59031/1","129229/1","125415/1","103726/1","89819/1","58608/1","117149/1","106994/1","41421/1","197296/1","11068/1","27742/1","75008/1","110252/1","1561/1","65093/1","205276/1","extracted_numbers"
100,98.919,98.962,NA,98.963,97.605,98.118,98.033,98.874,98.874,99.049,97.689,98.08,98.226,98.465,98.983,97.333,NA,94.969,98.466,96.912,NA,98.1,NA,NA,NA,NA,98.745,97.054,97.305,98.655,90.395,98.227,NA,98.029,97.174,99.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
100,98.396,99.282,NA,98.909,98.532,92.299,98.433,98.737,98.682,NA,97.398,98.194,97.961,98.257,98.949,98.093,NA,91.923,99.042,97.482,NA,98.258,NA,NA,NA,NA,98.807,97.166,98.432,98.8,92.209,98.429,NA,96.12,97.179,97.309,98.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
100,98.73,99.246,NA,98.55,98.164,NA,NA,98.886,NA,NA,NA,98.496,98.364,98.241,NA,97.829,NA,97.331,98.266,96.373,NA,97.925,NA,NA,NA,NA,98.169,97.98,98.626,99.142,87.783,98.883,NA,98.653,97.461,97.385,98.19,97.257,94.976,95.734,97.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
100,98.814,98.148,NA,98.312,97.493,NA,NA,98.916,NA,NA,NA,98.209,99.119,98.082,NA,98.077,NA,97.637,98.498,93.061,NA,98.178,NA,NA,NA,NA,98.439,97.314,98.511,97.98,90.443,98.581,NA,99.153,99.15,97.096,98.376,98.246,94.359,94.898,99.153,93.357,96.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
100,99.157,NA,NA,97.973,97.983,NA,NA,99.663,NA,NA,NA,98.82,97.808,98.818,NA,97.98,NA,98.818,NA,NA,NA,98.986,NA,NA,NA,NA,97.302,99.324,98.988,96.812,89.13,99.154,NA,98.154,96.807,97.162,98.82,98.649,96.98,95.616,97.822,97.466,96.959,98.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
100,99.122,NA,NA,99.413,95.455,NA,NA,98.68,NA,NA,NA,99.12,98.972,97.368,NA,97.089,NA,98.24,NA,NA,NA,94.015,NA,NA,NA,NA,97.956,97.962,98.11,99.108,85.243,99.12,NA,98.54,98.246,97.085,97.784,98.542,91.198,95.652,99.559,97.727,94.752,98.105,91.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
100,98.891,NA,NA,99.523,98.248,NA,NA,100,NA,NA,NA,96.994,99.206,97.767,NA,95.276,NA,96.519,NA,NA,NA,96.393,NA,NA,NA,NA,99.682,97.293,97.781,99.841,86.185,99.205,NA,99.522,98.73,97.323,98.578,95.246,90.221,97.937,100,97.129,99.203,98.565,89.557,98.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
100,98.742,NA,NA,98.237,99.711,NA,NA,NA,NA,NA,NA,97.919,96.866,98.071,NA,96.045,NA,97.643,NA,NA,NA,96.438,NA,NA,NA,NA,99.251,95.958,98.817,98.701,82.511,98.936,NA,98.701,98.82,97.514,98.586,98.819,96.44,94.685,98.541,97.155,95.922,98.075,89.53,97.565,97.885,98.559,99.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
100,98.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.398,96.334,97.506,NA,98.28,NA,97.029,NA,NA,NA,95.32,NA,NA,NA,NA,99.199,96.918,98.28,98.855,83.012,99.313,NA,98.737,98.396,96.921,NA,97.829,95.781,96.224,99.31,98.057,96.564,97.943,90.732,98.967,97.709,95.2,98.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
100,98.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.784,90.625,99.852,NA,95.133,NA,95.729,NA,NA,NA,94.737,NA,NA,NA,NA,99.704,96.041,99.114,97.489,91.082,99.41,NA,99.407,98.813,98.525,NA,99.114,94.898,93.75,99.111,92.764,97.194,98.373,90.015,98.373,99.261,97.349,98.385,97.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
100,98.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.956,99.79,99.165,NA,97.718,NA,94.021,NA,NA,NA,96.066,NA,NA,NA,NA,99.161,97.24,96.894,98.745,91.975,98.542,NA,99.582,96.868,97.921,NA,99.371,94.351,96.099,98.542,95.455,99.161,98.326,87.991,99.371,98.745,92.739,97.28,99.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
100,98.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.639,99.109,98.13,NA,98.003,NA,96.947,NA,NA,NA,96.259,NA,NA,NA,NA,98.297,96.362,98.597,99.019,95.641,98.379,NA,98.258,95.297,97.657,NA,98.765,86.955,96.937,98.471,98.1,96.149,98.424,92.459,98.638,98.253,94.764,97.964,98.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
100,98.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.775,97.993,98.107,NA,97.422,NA,96.433,NA,NA,NA,97.55,NA,NA,NA,NA,99.553,98.224,98.771,97.778,94.027,98.436,NA,99.218,97.442,98.881,NA,97.196,88.828,96.124,98.662,NA,93.488,99.219,92.576,98.883,99.106,94.248,91,99.217,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.437,98,98.914,NA,96.458,NA,96.026,NA,NA,NA,93.218,NA,NA,NA,NA,97.757,98.005,97.645,98.914,89.247,98.321,NA,96.997,98.332,93.53,NA,98.177,91.193,97.318,97.643,NA,97.086,97.427,87.94,97.842,98.235,92.308,96.927,98.314,89.62,96.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.571,98.312,98.047,NA,97.999,NA,95.607,NA,NA,NA,NA,NA,NA,NA,NA,99.284,97.991,98.298,97.211,NA,97.602,NA,97.86,99.092,96.304,NA,97.413,94.344,96.429,97.528,NA,98.052,98.103,91.622,97.28,98.642,95.026,99.087,98.895,88.676,96.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
