"OrNV-Ma07","41048/1","34828/1","29069/1","29099/1","38635/1","43280/1","3335/1","32540/1","43139/1","39448/1","35241/1","18077/1","31426/1","20610/1","19190/1","43266/1","5723/1","40009/1","32538/1","19256/1","3332/1","30211/1","29070/1","34829/1","41031/1","41059/1","35214/1","29059/1","41069/1","30194/1","44796/1","32554/1","5703/1","44743/1","41041/1","34830/1","30217/1","37980/1","29058/1","43267/1","4533/1","18076/1","38659/1","5702/1","41062/1","31427/1","41030/1","29093/1","43192/1","41047/1","43279/1","41071/1","37895/1","25404/1","32107/1","29080/1","44780/1","19228/1","13415/1","39509/1","38665/1","16947/1","20620/1","41929/1","30193/1","32134/1","37902/1","25461/1","43292/1","29081/1","7901/1","19220/1","43270/1","44783/1","4544/1","32539/1","30199/1","29056/1","20648/1","29094/1","30212/1","7899/1","4536/1","4543/1","44751/1","5701/1","8523/1","30219/1","37998/1","41072/1","20627/1","30201/1","44773/1","38646/1","32068/1","39521/1","23712/1","40359/1","25424/1","35240/1","32098/1","40358/1","3740/1","44791/1","39516/1","8510/1","24623/1","19242/1","25448/1","30186/1","44729/1","35273/1","13876/1","43152/1","8553/1","41924/1","38668/1","37860/1","40361/1","1888/1","44804/1","37859/1","20629/1","19184/1","30190/1","19257/1","39461/1","40350/1","32090/1","38633/1","40362/1","30183/1","19214/1","19235/1","44808/1","20604/1","44840/1","7904/1","39413/1","44834/1","44813/1","8548/1","44741/1","35216/1","39424/1","20622/1","24633/1","1898/1","33356/1","1843/1","13881/1","23754/1","extracted_numbers"
100,99.242,98.609,93.639,98.111,99.493,98.989,98.108,98.363,98.101,NA,95.262,98.106,98.487,98.991,97.98,98.101,98.314,NA,98.483,99.243,97.975,97.878,97.733,97.226,NA,98.733,97.355,97.736,99.242,98.232,97.497,97.613,98.483,96.977,95.208,97.856,98.228,97.736,90.977,99.241,98.737,97.601,96.343,96.738,97.229,98.473,97.604,98.489,97.722,98.733,NA,99.241,99.116,NA,97.607,97.73,NA,94.73,96.617,97.61,96.478,98.465,95,97.87,98.481,93.292,95.98,97.111,94.937,97.719,NA,98.611,97.87,95.238,NA,98.232,98.742,95.849,96.595,NA,96.487,NA,93.476,85.246,99.62,NA,92.893,NA,NA,NA,98.354,NA,97.222,96.361,98.359,98.611,98.991,96.721,98.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
100,99.049,98.323,96.107,96.379,98.543,98.153,96.72,98.155,97.157,NA,96.711,98.671,98.38,97.877,98.323,98.375,99.057,NA,99.049,98.383,97.349,95.214,97.1,98.103,NA,97.763,97.765,98.656,97.057,97.221,96.927,97.764,97.423,91.15,96.65,96.998,94.994,97.582,96.711,98.323,97.266,96.261,96.931,97.767,97.543,98.21,98.66,97.704,97.323,98.156,NA,97.648,97.482,NA,97.432,97.213,NA,92.107,95.65,98.431,97.448,96.468,95.409,95.887,96.978,94.398,95.205,97.219,96.462,97.039,NA,95.501,97.764,93.167,NA,98.275,98.212,93.566,93.183,NA,97.55,NA,95.028,86.088,98.438,NA,96.604,NA,NA,93.968,98.49,NA,96.933,95.856,98.546,99.01,97.545,97.988,98.49,97.379,97.662,97.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
100,99.834,96.865,94.098,97.858,98.673,99.834,94.737,98.673,96.7,NA,99.172,NA,96.705,97.697,99.502,97.039,98.507,NA,97.682,98.517,96.54,97.015,96.008,98.673,NA,97.19,95.074,99.834,97.195,98.843,97.686,98.673,98.675,98.023,97.03,98.686,96.358,94.754,97.044,97.533,97.529,95.372,98.191,99.005,98.35,98.843,98.673,98.839,98.675,96.895,NA,96.552,98.839,NA,96.865,97.377,NA,96.192,97.686,97.19,97.355,97.694,97.199,97.525,96.37,95.816,97.368,97.848,95.261,96.7,NA,98.35,96.865,95.71,NA,97.851,97.19,96.078,95.552,NA,96.02,NA,97.537,88.829,97.69,NA,99.502,NA,NA,98.35,98.517,NA,96.711,97.035,95.724,97.865,96.046,99.174,95.717,97.844,99.005,98.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
100,96.698,97.143,95.96,92.453,100,98.095,97.619,100,97.17,NA,98.492,NA,97.143,99.048,98.122,99.048,98.592,NA,98.571,97.63,98.095,99.038,94.811,98.592,NA,99.048,99.048,99.052,99.524,99.052,97.653,99.519,97.17,99.524,95.98,97.619,95.169,98.104,96.714,98.571,96.682,95.755,95.238,99.048,97.642,98.578,99.524,99.524,95.392,97,NA,100,94.762,NA,100,99.048,NA,95.294,96.19,97.619,97.653,99.048,96.682,97.642,98.571,93.548,89.908,96.262,NA,96.279,NA,99.048,98.095,99.526,NA,94.34,96.244,99.048,93.78,NA,95.261,NA,97.183,NA,100,NA,100,NA,NA,98.039,98.104,NA,99.048,95.775,99.048,91.743,99.524,99.057,100,99.526,98.565,98.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
100,99.468,98.939,91.361,95.232,98.143,95.773,94.974,97.895,96.962,NA,96.058,NA,97.748,95.163,96.047,98.148,96.697,NA,94.57,98.411,95.251,94.118,97.878,96.519,NA,98.415,97.886,98.674,97.867,97.219,95.899,98.675,96.321,97.094,97.875,96.697,91.281,97.757,96.063,97.493,95.376,95.288,97.622,98.677,97.074,98.011,98.151,96.443,94.862,94.868,NA,97.635,97.745,NA,98.28,96.834,NA,95.132,95.784,94.459,96.842,87.24,97.49,95.979,96.164,95.926,94.631,95.806,93.008,93.783,NA,97.619,96.83,96.443,NA,97.354,96.443,98.474,93.915,NA,98.148,NA,94.612,88.971,98.141,NA,97.625,NA,NA,96.676,99.074,NA,97.101,93.816,97.757,97.358,98.674,98.674,97.635,96.825,98.274,97.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
100,99.039,97.86,89.501,97.638,98.226,97.85,92.489,98.961,97.415,NA,96.767,NA,95.428,97.631,98.809,97.931,97.792,NA,93.402,98.08,96.038,NA,95.626,97.502,NA,96.76,98.291,95.96,98.147,98.634,96.972,98.67,95.14,98.006,97.048,97.185,96.086,97.932,96.503,97.449,98.668,97.115,92.878,97.702,98.222,97.189,96.896,94.883,97.783,97.318,NA,96.444,97.187,NA,96.667,97.443,NA,91.716,97.269,97.343,96.458,91.381,95.812,97.124,95.926,96.478,92.432,96.746,86.822,94.208,NA,96.542,98.077,97.994,NA,98.22,97.57,96.168,95.136,NA,97.044,NA,95.081,93.885,98.147,NA,98.293,NA,NA,90.103,98.446,NA,96.444,95.713,96.889,95.404,98.595,97.561,97.64,95.189,95.738,98.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
100,98.757,99.202,98.757,95.242,97.956,98.846,94.811,98.403,97.429,NA,96.897,NA,97.434,98.044,98.848,96.208,97.703,NA,95.522,97.965,96.117,NA,97.181,97.529,NA,97.352,97.606,97.961,97.629,97.697,98.669,99.116,96.994,96.845,97.085,99.2,96.605,97.138,96.839,95.137,94.18,96.021,97.269,97.438,97.093,98.322,98.145,97.095,97.366,97.257,NA,97.697,96.025,NA,95.221,98.674,NA,92.346,97.436,98.402,96.313,94.93,90.422,97.784,97.788,98.579,89.631,98.76,92.138,92.274,NA,90.263,96.999,97.166,NA,98.048,97.79,95.964,94.283,NA,95.844,NA,96.561,95.017,91.725,NA,97.693,NA,NA,97.876,96.028,NA,98.58,95.54,97.518,97.617,98.403,98.232,95.507,96.763,93.942,97.511,96.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
100,97.664,96.676,97.662,92.967,96.867,97.844,92.845,97.756,89.849,NA,98.027,NA,96.601,95.856,97.75,95.621,97.583,NA,97.122,97.66,95.691,NA,98.009,96.786,NA,95.571,97.48,95.43,94.469,94.351,96.071,97.493,96.524,95.971,97.574,97.941,NA,95.897,94.435,93.103,92.901,95.982,96.777,94.817,97.572,96.699,95.714,93.638,97.581,98.559,NA,97.496,96.505,NA,96.493,97.76,NA,91.121,96.313,NA,98.02,95.567,93.042,96.693,96.598,97.475,96.326,96.644,NA,89.432,NA,NA,96.948,95.911,NA,95.979,98.381,96.416,96.58,NA,95.187,NA,96.598,92.498,95.986,NA,96.416,NA,NA,96.499,96.499,NA,94.902,93.666,97.935,97.754,96.777,95.841,97.572,98.468,98.117,98.206,84.22,94.58,95.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
100,99.038,98.397,98.718,97.078,98.397,98.077,94.921,98.722,98.684,NA,96.486,NA,93.312,96.474,96.203,95.886,97.125,NA,98.722,98.397,94.904,NA,94.937,98.095,NA,97.143,97.778,96.845,92.381,97.778,94.314,98.397,93.968,97.125,95.513,99.038,NA,97.452,97.444,89.969,91.9,97.436,97.764,95.223,94.249,95.886,93.91,98.718,98.089,98.397,NA,97.444,95.208,NA,94.888,98.722,NA,94.904,97.764,NA,95.847,96.178,88.535,NA,95.541,96.845,95.57,95.86,NA,95.779,NA,NA,97.143,95.283,NA,97.436,98.722,97.72,95.847,NA,97.476,NA,98.071,77.07,97.125,NA,95.268,NA,NA,96.835,96.233,NA,95.611,93.61,96.508,99.038,95.847,95.86,98.403,96.835,95.541,98.077,84.718,95.513,96.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
100,99.692,98.676,98.053,97.035,98.161,98.469,95.842,97.658,97.755,NA,98.057,NA,97.417,97.855,98.466,99.179,98.776,NA,96.933,98.171,98.366,NA,97.344,96.341,100,97.446,96.545,98.874,96.134,96.552,94.721,97.961,97.253,97.038,96.053,99.488,NA,97.344,97.137,96.338,95.422,94.694,95.122,92.966,97.746,98.476,98.061,97.041,95.833,98.364,NA,97.242,97.053,NA,94.303,97.853,NA,92.323,94.987,NA,97.467,97.862,93.313,NA,97.452,96.154,98.361,97.862,NA,94.225,NA,NA,97.558,97.546,NA,96.425,97.959,97.056,89.81,NA,97.444,NA,97.36,91.793,98.875,NA,97.848,NA,NA,97.454,95.431,NA,98.669,95.145,98.16,98.161,98.675,96.939,96.057,97.753,99.183,97.452,92.401,98.566,99.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
100,99.223,98.931,98.442,96.89,98.447,98.639,97.381,98.538,96.796,NA,97.57,NA,98.442,98.06,99.026,98.06,98.445,NA,97.955,98.639,97.866,NA,97.203,97.582,96.139,93.744,98.155,98.643,92.151,97.371,94.986,98.638,98.063,98.447,97.279,97.58,NA,97.274,97.481,98.545,97.573,96.225,92.706,97.963,94.665,98.638,98.928,97.594,96.615,98.152,NA,98.152,98.535,NA,95.644,96.893,NA,94.696,96.702,NA,97.776,96.702,92.758,NA,98.06,95.652,96.605,97.587,NA,96.609,NA,NA,97.016,96.217,NA,98.162,97.86,96.887,94.851,NA,97.276,NA,96.612,92.308,97.773,NA,98.832,NA,NA,99.513,95.969,NA,98.157,95.678,98.348,96.542,98.451,95.229,98.258,98.251,98.152,98.256,96.404,98.154,98.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
100,99.048,99.181,98.095,96.617,98.374,98.501,97.693,99.183,97.965,NA,97.973,NA,96.739,96.608,98.367,98.499,97.283,NA,99.727,97.811,95.782,NA,97.82,97.687,96.211,97.951,96.226,98.241,86.272,97.956,93.75,98.374,NA,96.589,97.275,97.681,NA,95.592,97.019,97.019,97.554,97.558,95.951,97.411,95.794,97.548,97.294,98.098,97.826,97.841,NA,98.909,97.544,NA,94.844,97.297,NA,93.911,97.151,NA,98.367,96.858,94.694,NA,96.739,96.748,95.442,98.909,NA,94.708,NA,NA,96.603,97.162,NA,96.226,97.823,97.158,96.561,NA,99.183,NA,96.978,NA,97.275,NA,97.823,NA,NA,97.418,94.687,NA,97.135,93.261,97.548,95.664,97.956,96.196,98.069,97.294,95.935,97.286,NA,98.195,98.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
